cell,guide,guide_type,x_logcounts,x_true_log2_mean,x_true_log2_sd,x_true_log2fc,x_underlying_log2
NTC_000,NTC_1,NTC,6.22881869049588,5.8109407,0.0,0.1670847,5.7047996057256105
NTC_001,NTC_1,NTC,6.149747119504682,5.8183303,0.0,0.17447424,5.435859368526625
NTC_002,NTC_1,NTC,5.857980995127572,5.7013044,0.0,0.057448387,5.793946428936016
NTC_003,NTC_1,NTC,5.857980995127572,5.7170424,0.0,0.0731864,5.831969133052967
NTC_004,NTC_1,NTC,5.491853096329675,5.579079,0.0,-0.0647769,5.253649152043957
NTC_005,NTC_1,NTC,4.584962500721156,5.4557104,0.0,-0.18814564,5.38342028840226
NTC_006,NTC_1,NTC,4.807354922057604,5.437992,0.0,-0.20586395,5.669424270408181
NTC_007,NTC_1,NTC,5.882643049361842,5.73683,0.0,0.092974186,5.580607671306008
NTC_008,NTC_1,NTC,5.78135971352466,5.643493,0.0,-0.00036287308,5.640495958273867
NTC_009,NTC_1,NTC,4.954196310386875,5.489846,0.0,-0.15400982,5.473247404260008
NTC_010,NTC_1,NTC,5.321928094887363,5.537453,0.0,-0.106402874,5.81973578474729
NTC_011,NTC_1,NTC,6.658211482751795,5.9921703,0.0,0.3483143,5.799414576860514
NTC_012,NTC_1,NTC,5.930737337562887,5.727731,0.0,0.08387518,5.657062329286967
NTC_013,NTC_1,NTC,5.523561956057013,5.6208305,0.0,-0.023025513,5.869304431168331
NTC_014,NTC_1,NTC,5.643856189774724,5.650521,0.0,0.006664753,5.737358058225134
NTC_015,NTC_1,NTC,5.754887502163468,5.690416,0.0,0.04655981,5.471997697198077
NTC_016,NTC_1,NTC,6.554588851677638,5.8943596,0.0,0.25050354,5.717606346591224
NTC_017,NTC_1,NTC,5.754887502163468,5.676303,0.0,0.03244686,5.452079669608924
NTC_018,NTC_1,NTC,5.857980995127572,5.6553555,0.0,0.011499405,5.819546250036179
NTC_019,NTC_1,NTC,6.3750394313469245,5.9039783,0.0,0.2601223,5.633871007577474
KO1_000,KO1,CRISPRi,3.4594316186372973,3.5907018,0.0,-2.0531542,3.606883717065673
KO1_001,KO1,CRISPRi,4.523561956057013,3.8526292,0.0,-1.7912269,3.5076702808939366
KO1_002,KO1,CRISPRi,4.321928094887363,3.7662194,0.0,-1.8776367,3.888364457509531
KO1_003,KO1,CRISPRi,2.321928094887362,3.521637,0.0,-2.122219,3.6129502933609645
KO1_004,KO1,CRISPRi,3.321928094887362,3.5758371,0.0,-2.068019,3.558190625342103
KO1_005,KO1,CRISPRi,3.807354922057604,3.7115612,0.0,-1.9322948,3.573429479677079
KO1_006,KO1,CRISPRi,4.247927513443585,3.7502282,0.0,-1.8936279,3.7503180268853944
KO1_007,KO1,CRISPRi,3.700439718141092,3.6700187,0.0,-1.9738374,3.7169450026475404
KO1_008,KO1,CRISPRi,4.392317422778761,3.853216,0.0,-1.7906401,3.7264027120939227
KO1_009,KO1,CRISPRi,3.807354922057604,3.7038782,0.0,-1.9399779,3.730020390376301
KO1_010,KO1,CRISPRi,4.643856189774724,3.8875916,0.0,-1.7562644,4.072185709948817
KO1_011,KO1,CRISPRi,3.169925001442312,3.6044705,0.0,-2.0393856,3.5625731864978016
KO1_012,KO1,CRISPRi,3.4594316186372973,3.614174,0.0,-2.0296822,3.5414076439604174
KO1_013,KO1,CRISPRi,2.807354922057604,3.5611465,0.0,-2.0827096,3.4811016441251494
KO1_014,KO1,CRISPRi,3.9068905956085187,3.7077157,0.0,-1.9361403,3.767052074289824
KO1_015,KO1,CRISPRi,4.0,3.7331693,0.0,-1.9106867,3.869650648318903
KO1_016,KO1,CRISPRi,2.584962500721156,3.5173101,0.0,-2.126546,3.62106669824375
KO1_017,KO1,CRISPRi,3.584962500721156,3.6757154,0.0,-1.9681406,3.475824894382219
KO1_018,KO1,CRISPRi,3.700439718141092,3.6567798,0.0,-1.9870763,3.478959946636477
KO1_019,KO1,CRISPRi,4.321928094887363,3.81517,0.0,-1.828686,3.773974747339665
KO1_020,KO1,CRISPRi,2.584962500721156,3.510294,0.0,-2.133562,3.7925070240154133
KO1_021,KO1,CRISPRi,3.0,3.5930505,0.0,-2.0508056,3.752487043435764
KO1_022,KO1,CRISPRi,3.807354922057604,3.6833625,0.0,-1.9604936,3.510754248316986
