cell,cell_line,x_logcounts,y_logcounts,group
NTC_ref_000,ref,5.906890595608519,9.915879378835774,Reference
NTC_ref_001,ref,5.169925001442312,10.169925001442312,Reference
NTC_ref_002,ref,5.044394119358453,10.044394119358454,Reference
NTC_ref_003,ref,5.087462841250339,9.978710459106358,Reference
NTC_ref_004,ref,5.321928094887363,10.63753055152531,Reference
NTC_ref_005,ref,5.977279923499917,8.957102041562287,Reference
NTC_ref_006,ref,5.426264754702098,9.800899899920305,Reference
NTC_ref_007,ref,5.554588851677638,9.826548487290914,Reference
NTC_ref_008,ref,5.321928094887363,9.802516365121223,Reference
NTC_ref_009,ref,5.954196310386875,10.51668494930961,Reference
NTC_ref_010,ref,5.554588851677638,10.541096615349524,Reference
NTC_ref_011,ref,5.672425341971495,10.076815597050832,Reference
NTC_ref_012,ref,5.832890014164741,10.1357092861044,Reference
NTC_ref_013,ref,5.247927513443585,9.810571634741146,Reference
NTC_ref_014,ref,5.357552004618084,9.594324603924848,Reference
NTC_ref_015,ref,4.643856189774724,10.019590728357882,Reference
NTC_ref_016,ref,5.426264754702098,9.403012023574997,Reference
NTC_ref_017,ref,6.22881869049588,9.306061689428342,Reference
NTC_ref_018,ref,5.491853096329675,9.77313920671969,Reference
NTC_ref_019,ref,5.523561956057013,9.871905237659186,Reference
NTC_A_000,A,5.672425341971495,10.850186837645774,Technical group A
NTC_A_001,A,6.247927513443585,10.903128676812319,Technical group A
NTC_A_002,A,6.357552004618084,10.46352437327118,Technical group A
NTC_A_003,A,6.066089190457772,11.080151309614088,Technical group A
NTC_A_004,A,6.247927513443585,10.46454575033394,Technical group A
NTC_A_005,A,6.392317422778761,11.761966695382092,Technical group A
NTC_A_006,A,6.569855608330948,11.018200178813226,Technical group A
NTC_A_007,A,6.22881869049588,11.098690096673593,Technical group A
NTC_A_008,A,6.539158811108031,10.234817431117325,Technical group A
NTC_A_009,A,6.857980995127572,10.989394499844732,Technical group A
NTC_A_010,A,6.754887502163468,11.020285500844647,Technical group A
NTC_A_011,A,7.383704292474052,9.94982671075911,Technical group A
NTC_A_012,A,6.285402218862249,10.188588845707349,Technical group A
NTC_A_013,A,7.22881869049588,11.000704269011246,Technical group A
NTC_A_014,A,6.459431618637297,11.10000522442272,Technical group A
NTC_A_015,A,5.930737337562887,11.108524456778168,Technical group A
NTC_A_016,A,6.754887502163468,10.494855584491198,Technical group A
NTC_A_017,A,5.954196310386875,10.71681946132995,Technical group A
NTC_A_018,A,6.266786540694901,10.821773981970567,Technical group A
NTC_A_019,A,6.539158811108031,10.484822894262146,Technical group A
NTC_B_000,B,5.857980995127572,8.413627929024173,Technical group B
NTC_B_001,B,5.044394119358453,9.177419537989236,Technical group B
NTC_B_002,B,5.491853096329675,9.044394119358454,Technical group B
NTC_B_003,B,5.321928094887363,9.603626344986193,Technical group B
NTC_B_004,B,5.169925001442312,9.815383295813538,Technical group B
NTC_B_005,B,4.954196310386875,9.379378367071261,Technical group B
NTC_B_006,B,4.523561956057013,10.20945336562895,Technical group B
NTC_B_007,B,5.087462841250339,8.968666793195208,Technical group B
NTC_B_008,B,4.857980995127572,9.027905996569885,Technical group B
NTC_B_009,B,4.754887502163468,9.457380879072534,Technical group B
NTC_B_010,B,5.523561956057013,9.853309555403674,Technical group B
NTC_B_011,B,5.129283016944966,8.909893083770042,Technical group B
NTC_B_012,B,5.20945336562895,9.59618975614441,Technical group B
NTC_B_013,B,5.754887502163468,9.049848549450562,Technical group B
NTC_B_014,B,5.426264754702098,10.164906926675688,Technical group B
NTC_B_015,B,4.754887502163468,10.064742764750257,Technical group B
NTC_B_016,B,4.523561956057013,9.897845456005511,Technical group B
NTC_B_017,B,5.491853096329675,9.394462694610317,Technical group B
NTC_B_018,B,5.247927513443585,9.515699838284043,Technical group B
NTC_B_019,B,5.930737337562887,9.501837184902296,Technical group B
NTC_C_000,C,6.857980995127572,11.56081046872794,Technical group C
NTC_C_001,C,6.022367813028454,10.090112419664289,Technical group C
NTC_C_002,C,5.727920454563199,10.960001932068081,Technical group C
NTC_C_003,C,6.794415866350106,10.651051691178928,Technical group C
NTC_C_004,C,6.169925001442312,10.66622400280318,Technical group C
NTC_C_005,C,7.60733031374961,11.096056239180946,Technical group C
NTC_C_006,C,6.741466986401147,10.935901682267588,Technical group C
NTC_C_007,C,6.066089190457772,11.588246152044817,Technical group C
NTC_C_008,C,7.900866807980749,11.461479447286155,Technical group C
NTC_C_009,C,6.599912842187128,10.60177078840771,Technical group C
NTC_C_010,C,6.832890014164741,10.64565843240871,Technical group C
NTC_C_011,C,6.9886846867721655,11.746514321138463,Technical group C
NTC_C_012,C,6.6293566200796095,10.658211482751796,Technical group C
NTC_C_013,C,6.754887502163468,10.608254821977908,Technical group C
NTC_C_014,C,6.643856189774724,11.325867580575418,Technical group C
NTC_C_015,C,5.930737337562887,11.023754353299417,Technical group C
NTC_C_016,C,6.169925001442312,11.043710863347156,Technical group C
NTC_C_017,C,7.087462841250339,10.52943055414615,Technical group C
NTC_C_018,C,6.714245517666122,10.790348496751914,Technical group C
NTC_C_019,C,6.6865005271832185,10.88264304936184,Technical group C
