cell,guide,guide_type,x_true_log2_mean,x_log2fc,y_logcounts
NTC_000,NTC_1,NTC,5.8109407,0.1670847,9.400879436282183
NTC_001,NTC_1,NTC,5.8183303,0.17447424,10.397674632948268
NTC_002,NTC_1,NTC,5.7013044,0.057448387,9.489847960439297
NTC_003,NTC_1,NTC,5.7170424,0.0731864,8.049848549450562
NTC_004,NTC_1,NTC,5.579079,-0.0647769,10.187352073200497
NTC_005,NTC_1,NTC,5.4557104,-0.18814564,10.281930026955443
NTC_006,NTC_1,NTC,5.437992,-0.20586395,10.434628227636725
NTC_007,NTC_1,NTC,5.73683,0.092974186,10.46454575033394
NTC_008,NTC_1,NTC,5.643493,-0.00036287308,10.384783750093353
NTC_009,NTC_1,NTC,5.489846,-0.15400982,11.232420927176076
NTC_010,NTC_1,NTC,5.537453,-0.106402874,8.965784284662087
NTC_011,NTC_1,NTC,5.9921703,0.3483143,8.851749041416058
NTC_012,NTC_1,NTC,5.727731,0.08387518,9.228818690495881
NTC_013,NTC_1,NTC,5.6208305,-0.023025513,7.9886846867721655
NTC_014,NTC_1,NTC,5.650521,0.006664753,9.823367240046235
NTC_015,NTC_1,NTC,5.690416,0.04655981,10.625708843064466
NTC_016,NTC_1,NTC,5.8943596,0.25050354,10.181152256865566
NTC_017,NTC_1,NTC,5.676303,0.03244686,10.878050912728536
NTC_018,NTC_1,NTC,5.6553555,0.011499405,8.64745842645492
NTC_019,NTC_1,NTC,5.9039783,0.2601223,10.448116305409464
KO1_000,KO1,CRISPRi,3.5907018,-2.0531542,5.044394119358453
KO1_001,KO1,CRISPRi,3.8526292,-1.7912269,5.426264754702098
KO1_002,KO1,CRISPRi,3.7662194,-1.8776367,4.954196310386875
KO1_003,KO1,CRISPRi,3.521637,-2.122219,5.129283016944966
KO1_004,KO1,CRISPRi,3.5758371,-2.068019,5.285402218862249
KO1_005,KO1,CRISPRi,3.7115612,-1.9322948,5.392317422778761
KO1_006,KO1,CRISPRi,3.7502282,-1.8936279,5.087462841250339
KO1_007,KO1,CRISPRi,3.6700187,-1.9738374,4.169925001442312
KO1_008,KO1,CRISPRi,3.853216,-1.7906401,4.754887502163468
KO1_009,KO1,CRISPRi,3.7038782,-1.9399779,4.700439718141092
KO1_010,KO1,CRISPRi,3.8875916,-1.7562644,5.727920454563199
KO1_011,KO1,CRISPRi,3.6044705,-2.0393856,4.459431618637297
KO1_012,KO1,CRISPRi,3.614174,-2.0296822,5.20945336562895
KO1_013,KO1,CRISPRi,3.5611465,-2.0827096,5.832890014164741
KO1_014,KO1,CRISPRi,3.7077157,-1.9361403,4.459431618637297
KO1_015,KO1,CRISPRi,3.7331693,-1.9106867,5.554588851677638
KO1_016,KO1,CRISPRi,3.5173101,-2.126546,4.954196310386875
KO1_017,KO1,CRISPRi,3.6757154,-1.9681406,4.906890595608519
KO1_018,KO1,CRISPRi,3.6567798,-1.9870763,4.906890595608519
KO1_019,KO1,CRISPRi,3.81517,-1.828686,5.754887502163468
KO1_020,KO1,CRISPRi,3.510294,-2.133562,4.954196310386875
KO1_021,KO1,CRISPRi,3.5930505,-2.0508056,4.754887502163468
KO1_022,KO1,CRISPRi,3.6833625,-1.9604936,4.700439718141092
KO1_023,KO1,CRISPRi,3.5639343,-2.0799217,4.857980995127572
KO1_024,KO1,CRISPRi,3.6591055,-1.9847505,5.285402218862249
KO1_025,KO1,CRISPRi,3.585699,-2.058157,5.727920454563199
KO1_026,KO1,CRISPRi,3.7461922,-1.8976638,4.643856189774724
KO1_027,KO1,CRISPRi,3.6130018,-2.0308542,4.754887502163468
KO1_028,KO1,CRISPRi,3.5399024,-2.1039536,5.78135971352466
KO1_029,KO1,CRISPRi,3.7164488,-1.9274073,5.459431618637297
KO1_030,KO1,CRISPRi,3.5849984,-2.0588577,5.727920454563199
KO1_031,KO1,CRISPRi,3.5964353,-2.0474207,5.169925001442312
KO1_032,KO1,CRISPRi,3.7773404,-1.8665156,4.906890595608519
KO1_033,KO1,CRISPRi,3.605104,-2.038752,5.247927513443585
KO1_034,KO1,CRISPRi,3.7523162,-1.8915398,4.906890595608519
KO1_035,KO1,CRISPRi,3.6482787,-1.9955773,5.0
KO1_036,KO1,CRISPRi,3.5226865,-2.1211696,5.044394119358453
KO1_037,KO1,CRISPRi,3.668698,-1.975158,5.554588851677638
KO1_038,KO1,CRISPRi,3.6770935,-1.9667625,5.357552004618084
KO1_039,KO1,CRISPRi,3.6584868,-1.9853692,5.129283016944966
KO2_000,KO2,CRISPRi,4.117297,-1.5265589,5.357552004618084
KO2_001,KO2,CRISPRi,4.0407543,-1.6031017,5.584962500721156
KO2_002,KO2,CRISPRi,3.796681,-1.8471751,5.954196310386875
KO2_003,KO2,CRISPRi,4.09513,-1.5487261,5.672425341971495
KO2_004,KO2,CRISPRi,3.9459336,-1.6979225,6.357552004618084
KO2_005,KO2,CRISPRi,4.1688085,-1.4750476,6.523561956057013
KO2_006,KO2,CRISPRi,4.1437325,-1.5001235,6.0
KO2_007,KO2,CRISPRi,3.982107,-1.6617491,5.491853096329675
KO2_008,KO2,CRISPRi,4.3645988,-1.2792573,6.870364719583405
KO2_009,KO2,CRISPRi,4.1020765,-1.5417795,5.643856189774724
KO2_010,KO2,CRISPRi,4.2425594,-1.4012966,5.392317422778761
KO2_011,KO2,CRISPRi,4.346986,-1.2968702,5.459431618637297
KO2_012,KO2,CRISPRi,3.9565084,-1.6873477,5.129283016944966
KO2_013,KO2,CRISPRi,4.317998,-1.3258581,6.247927513443585
KO2_014,KO2,CRISPRi,4.186702,-1.4571543,5.523561956057013
KO2_015,KO2,CRISPRi,4.374048,-1.2698078,6.507794640198696
KO2_016,KO2,CRISPRi,4.0583425,-1.5855136,5.643856189774724
KO2_017,KO2,CRISPRi,4.250007,-1.3938489,5.78135971352466
KO2_018,KO2,CRISPRi,4.201425,-1.442431,6.845490050944375
KO2_019,KO2,CRISPRi,4.289485,-1.3543711,6.044394119358453
KO2_020,KO2,CRISPRi,4.1274147,-1.5164413,6.426264754702098
KO2_021,KO2,CRISPRi,4.0614104,-1.5824456,5.727920454563199
KO2_022,KO2,CRISPRi,3.932946,-1.7109101,5.584962500721156
KO2_023,KO2,CRISPRi,4.196744,-1.4471121,5.20945336562895
KO2_024,KO2,CRISPRi,4.0727925,-1.5710635,5.78135971352466
KO2_025,KO2,CRISPRi,3.947889,-1.695967,5.954196310386875
KO2_026,KO2,CRISPRi,4.140307,-1.5035491,4.459431618637297
KO2_027,KO2,CRISPRi,4.3374453,-1.3064108,6.044394119358453
KO2_028,KO2,CRISPRi,4.046605,-1.5972509,5.882643049361842
KO2_029,KO2,CRISPRi,4.3530426,-1.2908134,6.149747119504682
KO2_030,KO2,CRISPRi,4.0571175,-1.5867386,6.643856189774724
KO2_031,KO2,CRISPRi,4.24678,-1.3970761,5.044394119358453
KO2_032,KO2,CRISPRi,4.040573,-1.6032829,6.20945336562895
KO2_033,KO2,CRISPRi,4.04925,-1.5946059,5.727920454563199
KO2_034,KO2,CRISPRi,3.9034903,-1.7403657,5.357552004618084
KO2_035,KO2,CRISPRi,4.264804,-1.3790522,5.614709844115208
KO2_036,KO2,CRISPRi,4.107205,-1.5366511,5.426264754702098
KO2_037,KO2,CRISPRi,4.09009,-1.5537663,5.672425341971495
KO2_038,KO2,CRISPRi,4.399659,-1.2441969,6.22881869049588
KO2_039,KO2,CRISPRi,4.284325,-1.3595309,6.491853096329675
KO3_000,KO3,CRISPRi,4.7349253,-0.9089308,7.693486957499325
KO3_001,KO3,CRISPRi,4.6736956,-0.9701605,9.228818690495881
KO3_002,KO3,CRISPRi,4.5149684,-1.1288877,8.262094845370179
KO3_003,KO3,CRISPRi,4.72735,-0.9165058,9.654636028527968
KO3_004,KO3,CRISPRi,4.6460896,-0.9977665,7.247927513443585
KO3_005,KO3,CRISPRi,4.87011,-0.773746,8.20945336562895
KO3_006,KO3,CRISPRi,4.502783,-1.1410732,7.066089190457772
KO3_007,KO3,CRISPRi,4.8077707,-0.8360853,7.839203788096944
KO3_008,KO3,CRISPRi,4.5863013,-1.0575547,8.906890595608518
KO3_009,KO3,CRISPRi,4.6873646,-0.9564915,6.189824558880018
KO3_010,KO3,CRISPRi,4.720764,-0.9230919,8.727920454563199
KO3_011,KO3,CRISPRi,4.688489,-0.9553671,9.157346935362844
KO3_012,KO3,CRISPRi,4.7737746,-0.8700814,8.005624549193879
KO3_013,KO3,CRISPRi,4.475069,-1.168787,7.266786540694901
KO3_014,KO3,CRISPRi,4.646713,-0.99714327,8.515699838284043
KO3_015,KO3,CRISPRi,4.6126604,-1.0311956,6.882643049361842
KO3_016,KO3,CRISPRi,4.766419,-0.8774371,8.784634845557521
KO3_017,KO3,CRISPRi,4.694242,-0.94961405,8.693486957499326
KO3_018,KO3,CRISPRi,4.7147284,-0.9291277,10.46352437327118
KO3_019,KO3,CRISPRi,4.6471934,-0.9966626,7.906890595608519
KO3_020,KO3,CRISPRi,4.7762704,-0.86758566,7.577428828035749
KO3_021,KO3,CRISPRi,4.703203,-0.94065285,8.108524456778168
KO3_022,KO3,CRISPRi,4.6214695,-1.0223866,8.807354922057604
KO3_023,KO3,CRISPRi,4.87822,-0.76563597,9.303780748177102
KO3_024,KO3,CRISPRi,4.5761466,-1.0677094,8.848622940429339
KO3_025,KO3,CRISPRi,4.815611,-0.82824516,8.434628227636725
KO3_026,KO3,CRISPRi,4.9784856,-0.66537046,10.0
KO3_027,KO3,CRISPRi,4.656062,-0.9877939,6.857980995127572
KO3_028,KO3,CRISPRi,4.6894507,-0.9544053,7.011227255423254
KO3_029,KO3,CRISPRi,4.678677,-0.96517897,6.741466986401147
KO3_030,KO3,CRISPRi,4.472164,-1.1716919,7.076815597050831
KO3_031,KO3,CRISPRi,4.5595026,-1.0843534,6.741466986401147
KO3_032,KO3,CRISPRi,4.723312,-0.92054415,9.377210530388552
KO3_033,KO3,CRISPRi,4.7565107,-0.8873453,7.900866807980749
KO3_034,KO3,CRISPRi,4.523027,-1.1208291,6.977279923499917
KO3_035,KO3,CRISPRi,4.456041,-1.1878152,7.467605550082998
KO3_036,KO3,CRISPRi,4.4871917,-1.1566644,7.876516946564999
KO3_037,KO3,CRISPRi,5.057498,-0.5863581,9.060695931687555
KO3_038,KO3,CRISPRi,4.7573314,-0.8865247,10.778898476008376
KO3_039,KO3,CRISPRi,5.127759,-0.51609707,10.263269200372662
CA1_000,CA1,CRISPRa,5.835741,0.191885,4.392317422778761
CA1_001,CA1,CRISPRa,6.06682,0.4229641,5.857980995127572
CA1_002,CA1,CRISPRa,6.1131477,0.4692917,8.960001932068081
CA1_003,CA1,CRISPRa,6.048917,0.40506077,4.169925001442312
CA1_004,CA1,CRISPRa,5.9715962,0.3277402,6.044394119358453
CA1_005,CA1,CRISPRa,6.01813,0.37427378,4.954196310386875
CA1_006,CA1,CRISPRa,5.8731513,0.22929525,5.459431618637297
CA1_007,CA1,CRISPRa,5.767754,0.12389803,4.807354922057604
CA1_008,CA1,CRISPRa,6.0172243,0.37336826,3.0
CA1_009,CA1,CRISPRa,6.0410542,0.3971982,3.169925001442312
CA1_010,CA1,CRISPRa,6.0059724,0.36211634,4.584962500721156
CA1_011,CA1,CRISPRa,5.9809027,0.33704662,6.754887502163468
CA1_012,CA1,CRISPRa,5.9546785,0.3108225,8.184875342908283
CA1_013,CA1,CRISPRa,5.9017124,0.25785637,5.285402218862249
CA1_014,CA1,CRISPRa,6.0851226,0.44126654,4.459431618637297
CA1_015,CA1,CRISPRa,5.9787817,0.33492565,3.4594316186372973
CA1_016,CA1,CRISPRa,5.9774055,0.3335495,3.9068905956085187
CA1_017,CA1,CRISPRa,6.107458,0.46360207,2.321928094887362
